날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-09-01,,,0.020,0.024,0.4,0.003
2022-09-02,25,7,0.028,0.012,0.2,0.003
2022-09-03,23,6,0.031,0.008,0.2,0.003
2022-09-04,14,3,0.027,0.006,0.2,0.003
2022-09-05,11,3,0.028,0.014,0.2,0.003
2022-09-06,18,7,0.049,0.007,0.2,0.003
2022-09-07,33,13,0.032,0.016,0.3,0.003
2022-09-08,45,20,0.045,0.017,0.3,0.003
2022-09-09,35,16,0.035,0.011,0.3,0.003
2022-09-10,20,8,0.037,0.006,0.2,0.003
2022-09-11,25,10,0.033,0.007,0.2,0.003
2022-09-12,30,12,0.027,0.009,0.2,0.003
2022-09-13,35,13,0.019,0.015,0.3,0.003
2022-09-14,30,11,0.030,0.014,0.2,0.003
2022-09-15,30,10,0.037,0.010,0.2,0.003
2022-09-16,26,9,0.035,0.010,0.2,0.003
2022-09-17,41,18,0.041,0.012,0.3,0.003
2022-09-18,33,16,0.037,0.010,0.3,0.003
2022-09-19,32,9,0.034,0.010,0.2,0.003
2022-09-20,38,9,0.030,0.013,0.2,0.003
2022-09-21,29,9,0.022,0.015,0.2,0.003
2022-09-22,24,8,0.033,0.012,0.2,0.003
2022-09-23,30,10,0.029,0.012,0.2,0.003
2022-09-24,29,9,,0.013,0.3,0.003
2022-09-25,33,12,,0.014,0.3,0.003
2022-09-26,45,20,0.039,0.020,0.4,0.003
2022-09-27,48,22,0.043,0.021,0.4,0.003
2022-09-28,41,21,0.034,0.016,0.3,0.003
2022-09-29,68,43,0.024,0.016,0.5,0.003
2022-09-30,82,49,0.083,0.019,0.5,0.003
,,,,,,
