날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-12-01,32,13,0.019,0.018,0.3,0.003
2022-12-02,41,19,0.011,0.026,0.4,0.003
2022-12-03,40,23,0.009,0.027,0.4,0.003
2022-12-04,26,11,0.029,0.010,0.2,0.003
2022-12-05,29,13,0.018,0.020,0.3,0.003
2022-12-06,38,21,0.009,0.028,0.4,0.003
2022-12-07,57,29,0.018,0.022,0.4,0.003
2022-12-08,42,20,0.010,0.029,0.5,0.003
2022-12-09,71,37,0.012,0.031,0.5,0.003
2022-12-10,71,41,0.008,0.031,0.6,0.003
2022-12-11,49,27,0.017,0.021,0.6,0.004
2022-12-12,38,21,0.016,0.021,0.4,0.003
2022-12-13,95,29,0.028,0.011,0.3,0.002
2022-12-14,50,14,0.022,0.014,0.3,0.003
2022-12-15,45,24,0.010,0.024,0.4,0.003
2022-12-16,45,23,0.017,0.022,0.4,0.003
2022-12-17,32,20,0.020,0.017,0.3,0.003
2022-12-18,,18,0.022,0.014,0.3,0.003
2022-12-19,,23,0.010,0.027,0.5,0.003
2022-12-20,,30,0.011,0.029,0.5,0.003
2022-12-21,,36,0.012,0.026,0.6,0.003
2022-12-22,,16,0.030,0.008,0.3,0.003
2022-12-23,,14,0.031,0.009,0.3,0.003
2022-12-24,,24,0.013,0.024,0.5,0.003
2022-12-25,,35,0.013,0.025,0.7,0.003
2022-12-26,54,34,0.008,0.037,0.8,0.004
2022-12-27,62,41,0.009,0.039,0.7,0.004
2022-12-28,51,31,0.015,0.029,0.5,0.004
2022-12-29,47,29,0.009,0.036,0.6,0.003
2022-12-30,47,33,0.015,0.029,0.5,0.004
2022-12-31,46,32,0.013,0.030,0.5,0.003
,,,,,,
