날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-05-01,61,20,0.054,0.007,0.3,0.004
2022-05-02,63,23,0.053,0.013,0.4,0.004
2022-05-03,43,18,0.045,0.014,0.3,0.004
2022-05-04,49,19,0.058,0.014,0.3,0.004
2022-05-05,47,18,0.052,0.012,0.3,0.004
2022-05-06,50,20,0.040,0.013,0.3,0.004
2022-05-07,54,21,0.041,0.011,0.3,0.004
2022-05-08,39,12,0.044,0.009,0.3,0.004
2022-05-09,26,8,0.043,0.013,0.2,0.003
2022-05-10,30,10,0.048,0.013,0.2,0.004
2022-05-11,49,21,0.055,0.016,0.3,0.005
2022-05-12,57,23,0.053,0.017,0.4,0.005
2022-05-13,58,21,0.046,0.015,0.4,0.005
2022-05-14,48,16,0.052,0.008,0.3,0.004
2022-05-15,36,10,0.051,0.008,0.3,0.004
2022-05-16,39,13,0.054,0.010,0.2,0.004
2022-05-17,61,23,0.078,0.010,0.3,0.004
2022-05-18,72,31,0.094,0.011,0.3,0.004
2022-05-19,44,17,0.073,0.009,0.2,0.004
2022-05-20,54,25,0.051,0.016,0.3,0.005
2022-05-21,41,16,0.045,0.008,0.2,0.004
2022-05-22,48,20,0.056,0.006,0.2,0.004
2022-05-23,74,34,0.075,0.010,0.3,0.004
2022-05-24,48,18,0.058,0.013,0.3,0.004
2022-05-25,41,16,0.053,0.012,0.3,0.005
2022-05-26,34,10,0.051,0.007,0.2,0.004
2022-05-27,32,10,0.062,0.007,0.2,0.004
2022-05-28,43,18,0.060,0.009,0.3,0.004
2022-05-29,40,18,0.058,0.009,0.3,0.004
2022-05-30,44,21,0.048,0.012,0.3,0.004
2022-05-31,40,11,0.048,0.013,0.3,0.005
,,,,,,
