날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-10-01,87,54,0.053,0.021,0.6,0.003
2022-10-02,51,29,0.041,0.012,0.4,0.003
2022-10-03,20,9,0.029,0.007,0.2,0.003
2022-10-04,18,7,0.029,0.006,0.3,0.003
2022-10-05,26,10,0.028,0.010,0.3,0.004
2022-10-06,32,15,0.024,0.014,0.3,0.003
2022-10-07,24,10,0.027,0.012,0.2,0.003
2022-10-08,20,8,0.024,0.013,0.2,0.003
2022-10-09,12,6,0.033,0.008,0.2,0.003
2022-10-10,14,6,0.035,0.005,0.2,0.003
2022-10-11,24,10,0.025,0.013,0.3,0.004
2022-10-12,33,15,0.015,0.021,0.3,0.003
2022-10-13,28,12,0.024,0.018,0.3,0.003
2022-10-14,39,17,0.019,0.022,0.3,0.003
2022-10-15,65,35,0.036,0.017,0.4,0.003
2022-10-16,76,40,0.029,0.016,0.5,0.003
2022-10-17,48,15,0.029,0.009,0.3,0.003
2022-10-18,33,10,0.020,0.015,0.3,0.003
2022-10-19,44,16,0.018,0.020,0.4,0.003
2022-10-20,64,27,0.023,0.025,0.4,0.003
2022-10-21,79,41,0.023,0.024,0.4,0.003
2022-10-22,54,25,0.030,0.016,0.4,0.003
2022-10-23,56,23,0.034,0.010,0.3,0.003
2022-10-24,40,11,0.023,0.015,0.3,0.003
2022-10-25,41,13,0.014,0.021,0.3,0.003
2022-10-26,27,11,0.020,0.019,0.3,0.003
2022-10-27,54,22,0.024,0.023,0.4,0.003
2022-10-28,75,40,0.021,0.023,0.4,0.003
2022-10-29,59,31,0.028,0.017,0.4,0.003
2022-10-30,47,25,0.027,0.015,0.3,0.003
2022-10-31,35,16,0.028,0.016,0.3,0.003
,,,,,,
