날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-07-01,22,5,0.028,0.007,0.2,0.003
2022-07-02,41,16,0.054,0.012,0.3,0.003
2022-07-03,55,27,0.059,0.010,0.3,0.003
2022-07-04,41,19,0.058,0.012,0.3,0.003
2022-07-05,59,31,0.055,0.014,0.3,0.004
2022-07-06,42,19,0.032,0.010,0.3,0.003
2022-07-07,22,7,0.033,0.006,0.2,0.003
2022-07-08,27,12,0.056,0.005,0.2,0.003
2022-07-09,40,19,0.056,0.009,0.4,0.004
2022-07-10,44,22,0.054,0.008,0.4,0.003
2022-07-11,29,15,0.045,0.009,0.3,0.003
2022-07-12,35,14,0.032,0.011,0.3,0.003
2022-07-13,32,13,0.030,0.010,0.3,0.003
2022-07-14,24,10,0.048,0.008,0.3,0.003
2022-07-15,41,18,0.046,0.011,0.4,0.003
2022-07-16,36,16,0.042,0.009,0.3,0.003
2022-07-17,25,11,0.043,0.006,0.3,0.003
2022-07-18,25,10,0.036,0.011,0.3,0.003
2022-07-19,37,14,0.040,0.009,0.3,0.003
2022-07-20,48,22,0.050,0.013,0.4,0.003
2022-07-21,31,15,0.045,0.012,0.3,0.003
2022-07-22,35,16,0.057,0.008,0.3,0.003
2022-07-23,45,21,0.035,0.010,0.3,0.003
2022-07-24,29,13,0.044,0.006,0.3,0.003
2022-07-25,38,15,0.044,0.011,0.4,0.004
2022-07-26,46,20,0.052,0.012,0.4,0.003
2022-07-27,42,19,0.041,0.012,0.4,0.003
2022-07-28,30,13,0.040,0.009,0.3,0.003
2022-07-29,34,15,0.036,0.010,0.3,0.003
2022-07-30,26,9,0.027,0.009,0.2,0.003
2022-07-31,19,7,0.019,0.007,0.2,0.003
,,,,,,
