날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-04-01,35,15,0.029,0.017,0.3,0.004
2022-04-02,47,21,0.037,0.018,0.3,0.005
2022-04-03,67,34,0.044,0.017,0.4,0.005
2022-04-04,77,37,0.044,0.022,0.5,0.005
2022-04-05,72,36,0.038,0.024,0.4,0.004
2022-04-06,72,29,0.032,0.024,0.4,0.005
2022-04-07,61,15,0.037,0.015,0.3,0.004
2022-04-08,60,17,0.039,0.019,0.3,0.004
2022-04-09,67,22,0.057,0.015,0.3,0.004
2022-04-10,49,17,0.048,0.011,0.2,0.004
2022-04-11,49,18,0.032,0.015,0.2,0.004
2022-04-12,44,18,0.026,0.014,0.2,0.004
2022-04-13,32,17,0.021,0.016,0.3,0.003
2022-04-14,20,7,0.030,0.014,0.3,0.003
2022-04-15,37,13,0.033,0.015,0.3,0.004
2022-04-16,66,27,0.039,0.015,0.3,0.004
2022-04-17,61,26,0.052,0.012,0.3,0.004
2022-04-18,71,30,0.049,0.018,0.3,0.005
2022-04-19,62,27,0.052,0.017,0.3,0.004
2022-04-20,66,30,0.058,0.018,0.3,0.004
2022-04-21,66,31,0.059,0.016,0.3,0.004
2022-04-22,54,22,0.063,0.009,0.3,0.004
2022-04-23,49,22,0.053,0.012,0.3,0.004
2022-04-24,67,32,0.050,0.012,0.3,0.004
2022-04-25,75,35,0.054,0.015,0.4,0.004
2022-04-26,40,18,0.045,0.011,0.3,0.003
2022-04-27,196,24,0.042,0.016,0.3,0.004
2022-04-28,107,21,0.041,0.019,0.3,0.004
2022-04-29,32,12,0.041,0.014,0.3,0.003
2022-04-30,28,13,0.047,0.008,0.3,0.003
,,,,,,
