날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-03-01,53,28,0.029,0.020,0.3,0.004
2022-03-02,36,15,0.034,0.017,0.3,0.004
2022-03-03,74,36,0.034,0.029,0.5,0.005
2022-03-04,117,44,0.049,0.021,0.4,0.004
2022-03-05,127,20,0.041,0.011,0.3,0.004
2022-03-06,54,11,0.041,0.009,0.3,0.004
2022-03-07,52,22,0.022,0.029,0.4,0.005
2022-03-08,73,31,0.027,0.026,0.5,0.004
2022-03-09,93,46,0.031,0.026,0.5,0.004
2022-03-10,95,50,0.030,0.031,0.5,0.003
2022-03-11,85,39,0.034,0.030,0.4,0.004
2022-03-12,79,42,0.033,0.020,0.4,0.004
2022-03-13,28,14,0.034,0.014,0.3,0.003
2022-03-14,46,26,0.034,0.015,0.4,0.003
2022-03-15,56,32,0.033,0.019,0.5,0.004
2022-03-16,100,43,0.025,0.028,0.5,0.004
2022-03-17,67,35,0.022,0.018,0.4,0.004
2022-03-18,17,6,0.034,0.010,0.3,0.004
2022-03-19,20,10,0.036,0.007,0.3,0.004
2022-03-20,37,20,0.036,0.007,0.3,0.004
2022-03-21,45,20,0.031,0.018,0.4,0.005
2022-03-22,62,33,0.036,0.020,0.4,0.004
2022-03-23,54,26,0.028,0.020,0.4,0.004
2022-03-24,70,35,0.031,0.024,0.3,0.004
2022-03-25,89,49,0.034,0.024,0.4,0.004
2022-03-26,22,10,0.041,0.008,0.3,0.004
2022-03-27,47,16,0.038,0.011,0.4,0.004
2022-03-28,43,16,0.032,0.019,0.3,0.004
2022-03-29,54,19,0.029,0.022,0.3,0.004
2022-03-30,54,23,0.022,0.023,0.3,0.003
2022-03-31,63,33,0.031,0.016,0.4,0.004
,,,,,,
