날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-08-01,22,7,0.020,0.008,0.2,0.003
2022-08-02,15,4,0.028,0.005,0.2,0.003
2022-08-03,26,10,0.034,0.005,0.2,0.003
2022-08-04,27,9,0.026,0.009,0.2,0.003
2022-08-05,27,9,0.030,0.007,0.2,0.003
2022-08-06,35,14,0.040,0.007,0.2,0.003
2022-08-07,33,14,0.038,0.005,0.2,0.003
2022-08-08,29,10,0.041,0.005,0.2,0.003
2022-08-09,20,6,0.029,0.004,0.1,0.003
2022-08-10,17,7,0.031,0.014,0.3,0.003
2022-08-11,15,5,0.036,0.010,0.3,0.003
2022-08-12,34,16,0.058,0.011,0.3,0.003
2022-08-13,38,19,0.025,0.013,0.3,0.003
2022-08-14,26,9,0.029,0.010,0.2,0.003
2022-08-15,21,6,0.033,0.003,0.2,0.003
2022-08-16,31,10,0.046,0.009,0.4,0.003
2022-08-17,36,15,0.036,0.013,0.4,0.003
2022-08-18,32,14,0.036,0.013,0.3,0.003
2022-08-19,29,13,0.029,0.009,0.2,0.003
2022-08-20,33,10,0.050,0.009,0.4,0.003
2022-08-21,31,,0.040,0.009,0.4,0.003
2022-08-22,33,5,0.035,0.008,0.3,0.003
2022-08-23,30,9,0.026,0.014,0.3,0.003
2022-08-24,28,6,0.022,0.012,0.3,0.003
2022-08-25,30,8,0.019,0.014,0.3,0.003
2022-08-26,41,17,0.048,0.011,0.4,0.003
2022-08-27,33,13,0.037,0.009,0.3,0.003
2022-08-28,21,7,0.028,0.009,0.3,0.003
2022-08-29,19,6,0.023,0.012,0.2,0.003
2022-08-30,11,3,0.021,0.014,0.3,0.003
2022-08-31,13,4,0.014,0.012,0.3,0.003
,,,,,,
