날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-01-01,42,23,0.015,0.024,0.4,0.003
2022-01-02,56,32,0.021,0.019,0.4,0.004
2022-01-03,40,22,0.011,0.031,0.5,0.004
2022-01-04,46,22,0.018,0.025,0.4,0.004
2022-01-05,68,35,0.004,0.039,0.5,0.004
2022-01-06,69,37,0.016,0.030,0.6,0.005
2022-01-07,79,44,0.009,0.039,0.8,0.005
2022-01-08,58,35,0.018,0.027,0.5,0.004
2022-01-09,134,88,0.021,0.026,0.9,0.005
2022-01-10,116,74,0.013,0.033,0.8,0.005
2022-01-11,39,18,0.027,0.010,0.3,0.004
2022-01-12,35,18,0.020,0.018,0.3,0.004
2022-01-13,41,16,0.023,0.014,0.3,0.004
2022-01-14,45,20,0.015,0.026,0.4,0.005
2022-01-15,55,29,0.007,0.036,0.5,0.004
2022-01-16,47,23,0.029,0.012,0.3,0.004
2022-01-17,30,14,0.024,0.019,0.4,0.004
2022-01-18,41,19,0.019,0.023,0.5,0.005
2022-01-19,56,33,0.014,0.026,0.4,0.004
2022-01-20,57,33,0.015,0.029,0.4,0.004
2022-01-21,65,39,0.010,0.037,0.4,0.004
2022-01-22,83,50,0.006,0.044,0.5,0.006
2022-01-23,101,63,0.016,0.036,0.6,0.005
2022-01-24,58,33,0.024,0.022,0.4,0.004
2022-01-25,39,22,0.021,0.022,0.3,0.004
2022-01-26,83,49,0.026,0.025,0.6,0.005
2022-01-27,66,36,0.030,0.018,0.5,0.005
2022-01-28,43,20,0.029,0.017,0.4,0.005
2022-01-29,41,18,0.029,0.015,0.4,0.005
2022-01-30,44,21,0.026,0.017,0.4,0.005
2022-01-31,38,19,0.031,0.015,0.4,0.004
,,,,,,
