날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-11-01,76,38,0.027,0.018,0.5,0.003
2022-11-02,50,21,0.016,0.021,0.4,0.004
2022-11-03,49,19,0.015,0.022,0.4,0.003
2022-11-04,35,9,0.024,0.013,0.3,0.003
2022-11-05,38,14,0.018,0.020,0.4,0.004
2022-11-06,43,20,0.025,0.017,0.4,0.003
2022-11-07,52,25,0.019,0.025,0.4,0.003
2022-11-08,66,33,0.028,0.025,0.4,0.004
2022-11-09,89,51,0.017,0.030,0.5,0.003
2022-11-10,106,62,0.020,0.032,0.6,0.003
2022-11-11,90,51,0.027,0.030,0.5,0.003
2022-11-12,57,31,0.036,0.014,0.4,0.003
2022-11-13,30,16,0.028,0.008,0.4,0.003
2022-11-14,38,20,0.023,0.013,0.4,0.003
2022-11-15,42,19,0.021,0.021,0.4,0.003
2022-11-16,45,22,0.018,0.023,0.5,0.003
2022-11-17,55,26,0.016,0.029,0.5,0.004
2022-11-18,67,35,0.013,0.030,0.5,0.003
2022-11-19,43,21,0.029,0.021,0.4,0.003
2022-11-20,45,20,0.026,0.018,0.4,0.003
2022-11-21,59,30,0.022,0.024,0.5,0.004
2022-11-22,79,46,0.011,0.027,0.5,0.003
2022-11-23,55,31,0.018,0.021,0.5,0.004
2022-11-24,64,31,0.013,0.027,0.5,0.003
2022-11-25,64,32,0.026,0.021,0.4,0.003
2022-11-26,86,21,0.030,0.013,0.4,0.003
2022-11-27,40,15,0.018,0.017,0.3,0.003
2022-11-28,37,17,0.018,0.021,0.3,0.003
2022-11-29,27,12,0.026,0.011,0.3,0.003
2022-11-30,32,9,0.028,0.008,0.2,0.003
,,,,,,
